#Position (bp)	mapping quality
1.019099621E9	59.343183241541304
1.026849428E9	59.29939954717112
1.034599235E9	59.33026993151978
1.042349042E9	59.37069689902626
1.050098849E9	59.40842110201163
1.0575860385E9	56.746679740014265
1.061460942E9	54.78817966438269
1.065598463E9	59.475243434046796
1.07334827E9	59.46921310671327
1.081098077E9	59.30737941801259
1.088847884E9	58.41020326541456
1.096597691E9	57.41223302473478
1.104347498E9	59.29360200314201
1.112097305E9	59.15102137742072
1.119847112E9	53.023387915434526
1.127596919E9	58.22285195703343
1.135346726E9	58.90103719953174
1.143096533E9	59.06995208822391
1.15084634E9	59.18235674854115
1.158596147E9	59.050578275903185
1.166345954E9	59.23527689315091
1.174095761E9	58.96079466490114
1.181845568E9	59.22147478141588
1.189595375E9	59.23632373214713
1.197345182E9	59.365783740146334
1.205094989E9	59.43386366056439
1.212844796E9	59.40244766582996
1.220594603E9	58.86231788160885
1.228236905E9	58.638735135228096
1.2321118085E9	53.53154063890012
1.236094217E9	58.46498148979806
1.243844024E9	59.231047152387546
1.251593831E9	59.073581737569185
1.259343638E9	59.411505015363815
1.267093445E9	58.87466001813237
1.274843252E9	59.11000307373944
1.282593059E9	59.204295207596765
1.290342866E9	37.86165704049566
1.298092673E9	55.270256815608064
1.30584248E9	54.44305747444045
1.313592287E9	59.308263238295055
1.321342094E9	57.14199247597272
1.329091901E9	59.03692546629353
1.336841708E9	57.560557467946666
1.344591515E9	59.10933708548049
1.352341322E9	59.107171817111876
1.360091129E9	59.31451734450235
1.367840936E9	59.36928144665799
1.375590743E9	57.06510429728939
1.38334055E9	58.09317900362051
1.389282865E9	58.82970127991065
1.3931577685E9	56.5278435045803
1.398840164E9	56.04250270934868
1.406589971E9	57.8773441223557
1.414339778E9	59.44598777550179
1.422089585E9	59.44046481275181
1.429839392E9	59.22424469952653
1.437589199E9	55.06962394272688
1.445339006E9	59.15764057166435
1.453088813E9	59.168344669311274
1.46083862E9	58.02260111022998
1.468588427E9	59.20234963403385
1.476338234E9	56.373281223900605
