#Position (bp)	insert size
5.3086178E8	232.55889570552148
5.38611587E8	231.4710976837865
5.46361394E8	230.14020408163265
5.54111201E8	234.41046712802768
5.61861008E8	232.44106776180698
5.69610815E8	238.5608020698577
5.77360622E8	236.67760279965003
5.85110429E8	181.20949264851322
5.92860236E8	235.1039685820587
6.00610043E8	238.43742151527834
6.0835985E8	237.36528177704648
6.16109657E8	232.00060072086504
6.23859464E8	233.7254942339374
6.31609271E8	232.89639185648056
6.39359078E8	240.7142556327648
6.47108885E8	236.9660691421255
6.54858692E8	238.08788340221884
6.62608499E8	237.74285714285713
6.70358306E8	235.60331825037707
6.78108113E8	233.87620242576327
6.857142635E8	216.3891339214114
6.89589167E8	239.646408839779
6.93607727E8	230.36435523114355
7.01357534E8	231.94139433551197
7.09107341E8	234.80073165483108
7.16857148E8	235.47535287730727
7.24606955E8	233.3510078878177
7.32356762E8	231.1625441696113
7.40106569E8	153.77000934288384
7.47856376E8	227.97077021548967
7.55606183E8	240.5164133068958
7.6335599E8	230.51047542304593
7.71105797E8	140.4043126684636
7.78855604E8	234.3191763191763
7.86605411E8	240.36994840928634
7.94355218E8	233.41314357471745
8.02105025E8	235.63290874921697
8.09854832E8	241.0941453999571
8.17604639E8	238.12076042341758
8.25354446E8	238.10715844609342
8.33104253E8	159.8448252227553
8.4085406E8	235.73548922056384
8.48603867E8	238.3864464936736
8.56353674E8	237.36564443491315
8.64103481E8	237.05065985525755
8.71853288E8	227.8288770053476
8.776941285E8	229.46802627030763
8.81569032E8	237.2017543859649
8.87352902E8	234.384
8.95102709E8	218.35692801283338
9.02852516E8	234.97196261682242
9.10602323E8	234.19619086627074
9.1835213E8	239.8209395407626
9.26101937E8	193.16194274319898
9.33851744E8	236.0486427795874
9.41601551E8	232.30497625438778
9.49351358E8	233.7302282683883
9.57101165E8	234.00366002440018
9.64850972E8	236.6969825754356
9.72600779E8	237.60464633893383
9.80350586E8	241.28981501169466
9.88100393E8	177.33629675045984
9.958502E8	236.8864729249425
1.003600007E9	240.3956253981737
1.011349814E9	234.71394085697042
1.019099621E9	232.26714946690808
1.026849428E9	231.27418699186993
1.034599235E9	235.59279316808997
1.042349042E9	235.22034256713894
1.050098849E9	231.0886177235447
1.0575860385E9	226.06627854903718
1.061460942E9	240.75498575498577
1.065598463E9	233.2927028128822
1.07334827E9	233.96188158961883
1.081098077E9	235.09902871621622
1.088847884E9	235.76412976943482
1.096597691E9	193.5268376068376
1.104347498E9	227.83974490845506
1.112097305E9	234.83848284679308
1.119847112E9	239.75025201612902
1.127596919E9	218.33970233306516
1.135346726E9	234.86041622871556
1.143096533E9	239.1475756934152
1.15084634E9	232.71199341699239
1.158596147E9	234.91911606951297
1.166345954E9	235.44627926421404
1.174095761E9	232.0208625877633
1.181845568E9	237.6231853566169
1.189595375E9	239.36243718592965
1.197345182E9	233.75051461506794
1.205094989E9	233.54851780763488
1.212844796E9	230.61055966209082
1.220594603E9	230.2227926078029
1.228236905E9	231.08499335989376
1.2321118085E9	239.2173913043478
1.236094217E9	230.3031746031746
1.243844024E9	240.46482848458533
1.251593831E9	229.70731217356368
1.259343638E9	238.22903758777366
1.267093445E9	233.31305637982197
1.274843252E9	235.52244897959184
1.282593059E9	234.30590452261308
1.290342866E9	219.8062170970168
1.298092673E9	235.23941227312014
1.30584248E9	232.91512513601742
1.313592287E9	235.26450771571396
1.321342094E9	182.6853757405675
1.329091901E9	231.0307153164296
1.336841708E9	235.04550091817995
1.344591515E9	235.6856472595436
1.352341322E9	235.68558767672505
1.360091129E9	238.22891072891073
1.367840936E9	231.8907892025551
1.375590743E9	234.29985071443804
1.38334055E9	229.67516697024894
1.389282865E9	227.26627906976745
1.3931577685E9	236.0763956904995
1.398840164E9	233.1605463502015
1.406589971E9	235.98784194528875
1.414339778E9	230.6590476190476
1.422089585E9	230.9837860602232
1.429839392E9	230.88603019349353
