Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates
17-Quanta-100ng-1_S9_L008_R1_001	41.0	33.33333333333333	34303740.0	151.0	9.876785568982243
17-Quanta-100ng-1_S9_L008_R2_001	41.0	41.66666666666667	34303740.0	151.0	8.302517202704081
18-Quanta-100ng-2_S10_L005_R1_001	42.0	33.33333333333333	26314451.0	151.0	9.501356727968968
18-Quanta-100ng-2_S10_L005_R2_001	42.0	25.0	26314451.0	151.0	8.135160181043716
18-Quanta-100ng-2_S10_L006_R1_001	42.0	41.66666666666667	26102191.0	151.0	9.22100941049861
18-Quanta-100ng-2_S10_L006_R2_001	42.0	25.0	26102191.0	151.0	8.032543953433247
18-Quanta-100ng-2_S10_L007_R1_001	42.0	33.33333333333333	26112198.0	151.0	9.7320355265268
18-Quanta-100ng-2_S10_L007_R2_001	42.0	25.0	26112198.0	151.0	7.481045953231188
18-Quanta-100ng-2_S10_L008_R1_001	42.0	33.33333333333333	25579054.0	151.0	9.085229835184307
18-Quanta-100ng-2_S10_L008_R2_001	42.0	33.33333333333333	25579054.0	151.0	7.361257583267275
19-Quanta-100ng-3_S11_L005_R1_001	41.0	33.33333333333333	38643937.0	151.0	12.235754290491585
19-Quanta-100ng-3_S11_L005_R2_001	42.0	33.33333333333333	38643937.0	151.0	10.639249159889047
19-Quanta-100ng-3_S11_L006_R1_001	41.0	41.66666666666667	38173881.0	151.0	11.874779777328328
19-Quanta-100ng-3_S11_L006_R2_001	42.0	33.33333333333333	38173881.0	151.0	10.303360421919407
19-Quanta-100ng-3_S11_L007_R1_001	41.0	33.33333333333333	38667791.0	151.0	12.254510975466246
19-Quanta-100ng-3_S11_L007_R2_001	42.0	33.33333333333333	38667791.0	151.0	10.247791677879576
19-Quanta-100ng-3_S11_L008_R1_001	41.0	33.33333333333333	37180544.0	151.0	11.896715584987476
19-Quanta-100ng-3_S11_L008_R2_001	42.0	41.66666666666667	37180544.0	151.0	10.321652332854654
2-Swift2S-100ng-2_S6_L005_R1_001	42.0	33.33333333333333	42285519.0	151.0	17.636967527930693
2-Swift2S-100ng-2_S6_L005_R2_001	42.0	25.0	42285519.0	151.0	16.75036514473433
2-Swift2S-100ng-2_S6_L006_R1_001	42.0	33.33333333333333	42661919.0	151.0	17.25648996902575
2-Swift2S-100ng-2_S6_L006_R2_001	42.0	25.0	42661919.0	151.0	16.477784024720407
2-Swift2S-100ng-2_S6_L007_R1_001	42.0	33.33333333333333	42057726.0	151.0	17.02486490382509
2-Swift2S-100ng-2_S6_L007_R2_001	42.0	25.0	42057726.0	151.0	15.218323579333315
2-Swift2S-100ng-2_S6_L008_R1_001	42.0	33.33333333333333	41890051.0	151.0	16.33372926833725
2-Swift2S-100ng-2_S6_L008_R2_001	42.0	25.0	41890051.0	151.0	15.916417164400428
20-Quanta-100ng-4_S12_L005_R1_001	42.0	33.33333333333333	24471218.0	151.0	9.245514062528414
20-Quanta-100ng-4_S12_L005_R2_001	42.0	33.33333333333333	24471218.0	151.0	7.804630186407934
20-Quanta-100ng-4_S12_L006_R1_001	42.0	41.66666666666667	24080687.0	151.0	8.897172435293683
20-Quanta-100ng-4_S12_L006_R2_001	42.0	33.33333333333333	24080687.0	151.0	7.501808164920334
20-Quanta-100ng-4_S12_L007_R1_001	42.0	33.33333333333333	24480096.0	151.0	9.350223329269667
20-Quanta-100ng-4_S12_L007_R2_001	42.0	33.33333333333333	24480096.0	151.0	7.1748254574631005
20-Quanta-100ng-4_S12_L008_R1_001	42.0	33.33333333333333	23409807.0	151.0	8.696594489570515
20-Quanta-100ng-4_S12_L008_R2_001	42.0	41.66666666666667	23409807.0	151.0	6.7680096715724005
21-Quanta-10ng-1_S13_L005_R1_001	42.0	33.33333333333333	84308754.0	151.0	14.03070522891386
21-Quanta-10ng-1_S13_L005_R2_001	42.0	33.33333333333333	84308754.0	151.0	13.47820055999371
21-Quanta-10ng-1_S13_L006_R1_001	42.0	41.66666666666667	82203875.0	151.0	13.732710285136989
21-Quanta-10ng-1_S13_L006_R2_001	42.0	33.33333333333333	82203875.0	151.0	13.423621849061277
21-Quanta-10ng-1_S13_L007_R1_001	42.0	33.33333333333333	86276650.0	151.0	14.05677326811788
21-Quanta-10ng-1_S13_L007_R2_001	42.0	33.33333333333333	86276650.0	151.0	12.900696138630636
21-Quanta-10ng-1_S13_L008_R1_001	42.0	33.33333333333333	79912882.0	151.0	13.826042946306899
21-Quanta-10ng-1_S13_L008_R2_001	42.0	41.66666666666667	79912882.0	151.0	12.73367385383807
22-Quanta-10ng-2_S14_L005_R1_001	41.0	25.0	70012120.0	151.0	11.625919854038713
22-Quanta-10ng-2_S14_L005_R2_001	41.0	25.0	70012120.0	151.0	11.088013517385903
22-Quanta-10ng-2_S14_L006_R1_001	41.0	33.33333333333333	68075076.0	151.0	11.436456093402043
22-Quanta-10ng-2_S14_L006_R2_001	41.0	25.0	68075076.0	151.0	11.02784136209901
22-Quanta-10ng-2_S14_L007_R1_001	41.0	25.0	71587704.0	151.0	11.870394805007138
22-Quanta-10ng-2_S14_L007_R2_001	41.0	25.0	71587704.0	151.0	10.682022261453127
22-Quanta-10ng-2_S14_L008_R1_001	41.0	25.0	66256177.0	151.0	11.630379099738448
22-Quanta-10ng-2_S14_L008_R2_001	41.0	33.33333333333333	66256177.0	151.0	10.704390175141697
