#Position (bp)	insert size
7.71105797E8	97.24973617802249
7.78855604E8	209.53025770823746
7.86605411E8	210.77444903581267
7.94355218E8	209.00056433408577
8.02105025E8	210.69668889140016
8.09854832E8	206.97455209403174
8.17604639E8	211.5867973547473
8.25354446E8	209.0406239087417
8.33104253E8	102.66195458025007
8.4085406E8	202.07933759064835
8.48603867E8	209.12552545539467
8.56353674E8	206.76042019654355
8.64103481E8	209.6655040111615
8.71853288E8	189.31264891743498
8.776941285E8	201.79469718922053
8.81569032E8	203.8864055771991
8.87352902E8	204.07156695156695
8.95102709E8	186.54067034539136
9.02852516E8	208.93104667609617
9.10602323E8	206.73958333333334
9.1835213E8	206.69349704411096
9.26101937E8	159.2666743595661
9.33851744E8	210.89579417293234
9.41601551E8	203.61458787614478
9.49351358E8	204.70847029077117
9.57101165E8	206.40570028946783
9.64850972E8	209.71232091690544
9.72600779E8	207.65367816091955
9.80350586E8	206.80915062809726
9.88100393E8	131.37319628385058
9.958502E8	206.83646968196325
1.003600007E9	210.0779176590677
1.011349814E9	207.41548672566373
1.019099621E9	204.82897472371155
1.026849428E9	205.56418079096045
1.034599235E9	207.05063858391216
1.042349042E9	210.95172729352552
1.050098849E9	205.16798679867986
1.0575860385E9	200.71763119176066
1.061460942E9	207.30014641288435
1.065598463E9	205.1328694871507
1.07334827E9	205.76164874551972
1.081098077E9	207.03651814423517
1.088847884E9	206.52763247668864
1.096597691E9	199.17406542056074
1.104347498E9	202.83282969997842
1.112097305E9	205.89532773871628
1.119847112E9	204.69835759113366
1.127596919E9	187.9707433061098
1.135346726E9	208.95884025014212
1.143096533E9	206.41002331002332
1.15084634E9	206.55035593418134
1.158596147E9	203.00846391398832
1.166345954E9	207.5896883852691
1.174095761E9	191.58705448586645
1.181845568E9	207.49771260997068
1.189595375E9	206.36895878773964
1.197345182E9	207.39805825242718
1.205094989E9	210.76720249797617
1.212844796E9	206.78791685701233
1.220594603E9	204.81178322464584
1.228236905E9	205.19596983266555
1.2321118085E9	196.44723618090453
1.236094217E9	200.8408640070531
1.243844024E9	208.42866972477063
1.251593831E9	194.32495829858215
1.259343638E9	205.3149128612398
1.267093445E9	207.29425208547593
1.274843252E9	205.90669394249346
1.282593059E9	210.0640880217786
1.290342866E9	174.05901702786377
1.298092673E9	206.92111929986183
1.30584248E9	206.36290513366453
1.313592287E9	207.78733340927212
1.321342094E9	123.57020484171322
1.329091901E9	205.63836017569545
1.336841708E9	207.32456613129244
1.344591515E9	207.1074851665906
1.352341322E9	209.31987611989825
1.360091129E9	208.15871404399323
1.367840936E9	202.91759964173758
1.375590743E9	205.19631684570888
1.38334055E9	202.0022251891411
1.389282865E9	200.7614833544037
1.3931577685E9	204.3414434117004
1.398840164E9	206.32895051398518
1.406589971E9	206.19256120527308
1.414339778E9	204.2773263133799
1.422089585E9	204.61291048133154
1.429839392E9	205.78307063631055
1.437589199E9	201.05731483904736
1.445339006E9	205.87279625083687
1.453088813E9	204.27661210589915
1.46083862E9	204.50575973669774
1.468588427E9	193.3534237210892
1.476338234E9	206.28309938236944
1.484088041E9	205.78738396152556
1.491837848E9	206.30198513918154
1.499587655E9	205.51821586653048
1.507337462E9	204.64509442653156
1.515087269E9	204.39243095806341
1.522837076E9	204.18583776595744
1.530586883E9	185.5004522158577
1.5354753495E9	195.9987679671458
1.539350253E9	198.66453630677182
1.546086497E9	206.93210925988893
1.553836304E9	208.3196544276458
1.561586111E9	206.5037534121929
1.569335918E9	209.6390698719389
1.577085725E9	209.59346390079963
1.584835532E9	146.26356589147287
1.592585339E9	0.0
1.600335146E9	217.27769886363637
1.608084953E9	207.23504174397033
1.61583476E9	70.2127388157114
1.623584567E9	201.47028788701792
1.631334374E9	203.7558037669733
1.639084181E9	207.63396811337466
1.646833988E9	199.9397278029812
1.654583795E9	203.3208323805168
1.662333602E9	203.9306053575195
1.670083409E9	199.9919380502811
1.674420971E9	199.8374717832957
1.6782958745E9	205.0363381359174
1.685583023E9	201.20010793308148
1.69333283E9	204.79343672735448
1.701082637E9	208.96313734497014
1.708832444E9	189.00322714969812
1.716582251E9	161.2701927431936
1.724332058E9	206.2996674467299
1.732081865E9	209.36726893676163
1.739831672E9	208.18691692581075
1.747581479E9	201.34929116684842
1.755331286E9	208.82245792022135
1.763081093E9	206.37752066115704
1.7708309E9	198.67114310270736
1.778580707E9	203.21396345589895
1.786330514E9	203.75947800652492
1.794080321E9	165.75966086568496
1.801830128E9	203.93964643621214
1.8071930415E9	198.622278207666
1.811067945E9	201.4147279369352
1.817329742E9	204.3864550494619
1.825079549E9	205.1575623268698
1.832829356E9	208.96536494653648
1.840579163E9	206.87592385218366
1.84832897E9	193.66954177897574
1.856078777E9	206.4816236334031
1.863828584E9	178.42452297617703
1.871578391E9	198.88237796447942
1.879328198E9	200.58477090429622
1.887078005E9	204.3231247225921
1.894827812E9	201.1831063268893
1.902577619E9	207.94299988645395
1.910327426E9	206.3095238095238
1.918077233E9	207.60526315789474
1.92582704E9	202.46939000220215
1.933576847E9	200.11580922941047
1.940609712E9	205.56295365717477
1.9444846155E9	203.3965317919075
1.949076461E9	204.0884170317942
1.956826268E9	205.61484687083887
1.964576075E9	208.37945173383318
1.972325882E9	203.38003922423187
1.980075689E9	197.11644951140065
1.987825496E9	206.76459143968873
1.995575303E9	203.85731666851012
2.00332511E9	206.7395694629383
2.011074917E9	207.49485803711156
2.018824724E9	193.79330388281795
2.026574531E9	207.60228189466406
2.034324338E9	210.12599573656456
2.042074145E9	206.69625751837825
2.049823952E9	204.3508810093539
2.057573759E9	204.30619253351057
2.065323566E9	202.7391918314143
2.073073373E9	200.9168384879725
2.0769956295E9	143.12435233160622
2.080870533E9	0.0
2.088572987E9	0.0
2.096322794E9	191.52090763425855
2.104072601E9	201.2354609929078
2.111822408E9	206.1298775603616
2.119572215E9	205.33413910559278
2.127322022E9	205.6187351510352
2.135071829E9	209.01183502689778
2.142821636E9	204.33899504600143
2.150571443E9	209.56903765690376
2.15832125E9	209.26187986522598
2.166071057E9	204.75562150439447
2.173820864E9	195.23818085668958
2.181570671E9	205.20621046578492
2.1884264425E9	196.99070307960488
2.192301346E9	0.0
2.197070285E9	0.0
2.204820092E9	181.3111111111111
2.212569899E9	207.1216531649046
2.220319706E9	188.7215850911325
2.228069513E9	205.60356545961002
2.23581932E9	209.84359634745962
